5nm x,5nm y,25nm x,25nm y,5nm_log x,5nm_log y,25nm_log x,25nm_log y
0.132701422,0.008763693,0.132701422,0.008763693,0.099903556,3.539823009,0.01386254,-0.353982301
0.234597156,0.008763693,0.234597156,0.008763693,0.18791585,16.28318584,0.144819034,15.92920354
0.334123223,0.00657277,0.334123223,0.00657277,0.283054422,30.26548673,0.235209581,29.02654867
0.428909953,0.00657277,0.428909953,0.00657277,0.387782311,44.07079646,0.337533782,43.00884956
0.533175355,0.010954617,0.533175355,0.010954617,0.482971756,56.99115044,0.447069048,56.46017699
0.630331754,0.017527387,0.630331754,0.017527387,0.587987918,64.77876106,0.537739388,63.71681416
0.734597156,0.037245696,0.734597156,0.037245696,0.683575857,69.38053097,0.635731016,68.14159292
0.834123223,0.070109546,0.834123223,0.070109546,0.784039002,72.21238938,0.738563934,71.50442478
0.931279621,0.111737089,0.931279621,0.111737089,0.884536061,74.33628319,0.836665783,73.62831858
1.035545024,0.166510172,1.035545024,0.166510172,0.982654867,76.10619469,0.939583488,75.22123894
1.132701422,0.236619718,1.132701422,0.236619718,1.085589529,77.34513274,1.035307085,76.99115044
1.225118483,0.313302034,1.225118483,0.313302034,1.186128981,78.5840708,1.131047639,78.40707965
1.334123223,0.40970266,1.334123223,0.40970266,1.284281702,79.6460177,1.236394468,79.2920354
1.436018957,0.512676056,1.436018957,0.512676056,1.384829633,80.7079646,1.334555667,80.17699115
1.54028436,0.628794992,1.54028436,0.628794992,1.48061258,81.23893805,1.427934927,80.88495575
1.639810427,0.744913928,1.639810427,0.744913928,1.583572678,81.94690265,1.530886545,81.7699115
1.741706161,0.867605634,1.741706161,0.867605634,1.686541254,82.47787611,1.631442955,82.65486726
1.843601896,0.999061033,1.843601896,0.999061033,1.78233268,82.83185841,1.736832176,82.65486726
1.94549763,1.126134585,1.94549763,1.126134585,1.894856658,83.89380531,1.882881,83.89381
2.007109005,1.213771518,2.007109005,1.213771518,1.985883101,83.71681416,1.988278311,83.71681416
